"","X","id","Time","Sample","Value"
"1614",2634,3,4.5,"Cell_9",1.071196
"1615",2635,3,4.666667,"Cell_9",1.073375
"1616",2636,3,4.833334,"Cell_9",1.065648
"1617",2637,3,5,"Cell_9",1.067865
"1618",2638,3,5.166667,"Cell_9",1.061525
"1619",2639,3,5.333334,"Cell_9",1.060159
"1620",2640,3,5.5,"Cell_9",1.045915
"1621",2641,3,5.666667,"Cell_9",1.048765
"1622",2642,3,5.833334,"Cell_9",1.03513
"1623",2643,3,6,"Cell_9",1.041812
"1624",2644,3,6.166667,"Cell_9",1.025692
"1625",2645,3,6.333334,"Cell_9",1.02844
"1626",2646,3,6.5,"Cell_9",1.027852
"1627",2647,3,6.666667,"Cell_9",1.025255
"1628",2648,3,6.833334,"Cell_9",1.032173
"1629",2649,3,7,"Cell_9",1.030873
"1630",2650,3,7.166667,"Cell_9",1.024606
"1631",2651,3,7.333334,"Cell_9",1.029782
"1632",2652,3,7.5,"Cell_9",1.030363
"1633",2653,3,7.666667,"Cell_9",1.021064
"1634",2654,3,7.833334,"Cell_9",1.022231
"1635",2655,3,8,"Cell_9",1.035948
"1636",2656,3,8.166667,"Cell_9",1.0251
"1637",2657,3,8.333333,"Cell_9",1.024159
"1638",2658,3,8.5,"Cell_9",1.018265
"1639",2659,3,8.666667,"Cell_9",1.022758
"1640",2660,3,8.833333,"Cell_9",1.018438
"1641",2661,3,9,"Cell_9",1.017992
"1642",2662,3,9.166667,"Cell_9",1.015004
"1643",2663,3,9.333333,"Cell_9",1.01041
"1644",2664,3,9.5,"Cell_9",1.010178
"1645",2665,3,9.666667,"Cell_9",1.008099
"1646",2666,3,9.833333,"Cell_9",1.005477
"1647",2667,3,10,"Cell_9",0.9992422
"1648",2728,1,0,"Cell_10",1.010842
"1649",2729,1,0.1666667,"Cell_10",1.012
"1650",2730,1,0.3333333,"Cell_10",0.994132
"1651",2731,1,0.5,"Cell_10",0.9918703
"1652",2732,1,0.6666667,"Cell_10",1.00059
"1653",2733,1,0.8333333,"Cell_10",1.010844
"1654",2734,1,1,"Cell_10",0.9868736
"1655",2735,1,1.166667,"Cell_10",0.9904239
"1656",2736,1,1.333333,"Cell_10",1.004229
"1657",2737,1,1.5,"Cell_10",1.000376
"1658",2738,1,1.666667,"Cell_10",1.007868
"1659",2739,1,1.833333,"Cell_10",0.9990486
"1660",2740,1,2,"Cell_10",1.024858
"1661",2741,1,2.166667,"Cell_10",1.074786
"1662",2742,1,2.333333,"Cell_10",1.095136
"1663",2743,1,2.5,"Cell_10",1.081385
"1664",2744,1,2.666667,"Cell_10",1.090061
"1665",2745,1,2.833333,"Cell_10",1.074129
"1666",2746,1,3,"Cell_10",1.085761
"1667",2747,1,3.166667,"Cell_10",1.066654
"1668",2748,1,3.333333,"Cell_10",1.053506
"1669",2749,1,3.5,"Cell_10",1.048182
"1670",2750,1,3.666667,"Cell_10",1.060745
"1671",2751,1,3.833333,"Cell_10",1.034795
"1672",2752,1,4,"Cell_10",1.031767
"1673",2753,1,4.166667,"Cell_10",1.037875
"1674",2754,1,4.333334,"Cell_10",1.020138
"1675",2755,1,4.5,"Cell_10",1.020575
"1676",2756,1,4.666667,"Cell_10",0.9980479
"1677",2757,1,4.833334,"Cell_10",1.008215
"1678",2758,1,5,"Cell_10",1.012767
"1679",2759,1,5.166667,"Cell_10",1.008845
"1680",2760,1,5.333334,"Cell_10",1.014773
"1681",2761,1,5.5,"Cell_10",1.028615
"1682",2762,1,5.666667,"Cell_10",1.01434
"1683",2763,1,5.833334,"Cell_10",1.029716
"1684",2764,1,6,"Cell_10",1.017837
"1685",2765,1,6.166667,"Cell_10",1.009177
"1686",2766,1,6.333334,"Cell_10",1.009617
"1687",2767,1,6.5,"Cell_10",1.016519
"1688",2768,1,6.666667,"Cell_10",1.00584
"1689",2769,1,6.833334,"Cell_10",1.016684
"1690",2770,1,7,"Cell_10",1.020063
"1691",2771,1,7.166667,"Cell_10",1.014749
"1692",2772,1,7.333334,"Cell_10",1.012126
"1693",2773,1,7.5,"Cell_10",1.028591
"1694",2774,1,7.666667,"Cell_10",1.029401
"1695",2775,1,7.833334,"Cell_10",1.022219
"1696",2776,1,8,"Cell_10",1.024861
"1697",2777,1,8.166667,"Cell_10",1.025217
"1698",2778,1,8.333333,"Cell_10",1.024776
"1699",2779,1,8.5,"Cell_10",1.025483
"1700",2780,1,8.666667,"Cell_10",1.028187
"1701",2781,1,8.833333,"Cell_10",1.024252
"1702",2782,1,9,"Cell_10",1.016201
"1703",2783,1,9.166667,"Cell_10",1.019894
"1704",2784,1,9.333333,"Cell_10",1.019894
"1705",2785,1,9.5,"Cell_10",1.026695
"1706",2786,1,9.666667,"Cell_10",1.039674
"1707",2787,1,9.833333,"Cell_10",1.039594
"1708",2788,1,10,"Cell_10",1.039422
"1709",2789,2,0,"Cell_10",1.004327
