"Time","unique_id","id","Sample","Value"
8,"1_cell.3","1","cell.3",0.970470233131499
10,"1_cell.3","1","cell.3",0.954990828553777
12,"1_cell.3","1","cell.3",1
14,"1_cell.3","1","cell.3",0.955934603690346
16,"1_cell.3","1","cell.3",0.990150569185433
18,"1_cell.3","1","cell.3",0.987479798760793
20,"1_cell.3","1","cell.3",0.968041581682734
22,"1_cell.3","1","cell.3",0.934474525918952
24,"1_cell.3","1","cell.3",0.963297233333994
26,"1_cell.3","1","cell.3",0.963503330358091
28,"1_cell.3","1","cell.3",0.973171622215149
30,"1_cell.3","1","cell.3",0.989996189392101
32,"1_cell.3","1","cell.3",0.982624554260509
34,"1_cell.3","1","cell.3",0.985050890012373
36,"1_cell.3","1","cell.3",0.948679268003064
38,"1_cell.3","1","cell.3",0.953929467474622
40,"1_cell.3","1","cell.3",0.964142977301796
42,"1_cell.3","1","cell.3",0.961179399869137
44,"1_cell.3","1","cell.3",0.935744814318417
46,"1_cell.3","1","cell.3",0.396611209156574
48,"1_cell.3","1","cell.3",0.0985663520492242
50,"1_cell.3","1","cell.3",0.0601224386140913
52,"1_cell.3","1","cell.3",0.0303621312542149
54,"1_cell.3","1","cell.3",0.0370143565488807
56,"1_cell.3","1","cell.3",0.0365007864363971
58,"1_cell.3","1","cell.3",0.021449528485516
60,"1_cell.3","1","cell.3",0.0206773722192018
62,"1_cell.3","1","cell.3",0.0115928932805938
64,"1_cell.3","1","cell.3",0.0113754750716514
66,"1_cell.3","1","cell.3",0.0176867783227097
68,"1_cell.3","1","cell.3",0.00913182207522971
70,"1_cell.3","1","cell.3",0.0130878042793563
72,"1_cell.3","1","cell.3",0.015854032876206
74,"1_cell.3","1","cell.3",0.010365573923606
76,"1_cell.3","1","cell.3",0.0194922500057248
78,"1_cell.3","1","cell.3",0.0182217043066044
80,"1_cell.3","1","cell.3",0.0136448580336283
82,"1_cell.3","1","cell.3",0.0223657725589403
84,"1_cell.3","1","cell.3",0.00653618315001146
86,"1_cell.3","1","cell.3",0.0190774829609735
88,"1_cell.3","1","cell.3",0.000302584394930116
90,"1_cell.3","1","cell.3",0
92,"1_cell.3","1","cell.3",0.00209030240171201
94,"1_cell.3","1","cell.3",0.0114524076686618
96,"1_cell.3","1","cell.3",0.0524330384078912
98,"1_cell.3","1","cell.3",0.206465991803977
100,"1_cell.3","1","cell.3",0.0321557671530745
102,"1_cell.3","1","cell.3",0.0506710503666648
104,"1_cell.3","1","cell.3",0.0522675947293709
106,"1_cell.3","1","cell.3",0.048769348612473
108,"1_cell.3","1","cell.3",0.0551966940081857
110,"1_cell.3","1","cell.3",0.0382457927003572
112,"1_cell.3","1","cell.3",0.0595579231698082
114,"1_cell.3","1","cell.3",0.0378675622066943
116,"1_cell.3","1","cell.3",0.0523900693654139
118,"1_cell.3","1","cell.3",0.0474059177376977
120,"1_cell.3","1","cell.3",0.0488434509132721
122,"1_cell.3","1","cell.3",0.037136831184924
124,"1_cell.3","1","cell.3",0.0447956127321132
126,"1_cell.3","1","cell.3",0.0563820735213181
128,"1_cell.3","1","cell.3",0.0550924876476867
130,"1_cell.3","1","cell.3",0.0484711383116869
132,"1_cell.3","1","cell.3",0.0507770578247525
134,"1_cell.3","1","cell.3",0.0563493964650629
136,"1_cell.3","1","cell.3",0.0550412850162315
138,"1_cell.3","1","cell.3",0.0566900612090148
140,"1_cell.3","1","cell.3",0.0568657968737575
142,"1_cell.3","1","cell.3",0.0509576821829507
144,"1_cell.3","1","cell.3",0.0590227398862581
146,"1_cell.3","1","cell.3",0.0494293222289663
148,"1_cell.3","1","cell.3",0.0751122019472951
150,"1_cell.3","1","cell.3",0.00257942904691809
152,"1_cell.3","1","cell.3",0.105465842312877
154,"1_cell.3","1","cell.3",0.159527587540418
156,"1_cell.3","1","cell.3",0.226154561446888
158,"1_cell.3","1","cell.3",0.339905195368915
160,"1_cell.3","1","cell.3",0.40747208491712
162,"1_cell.3","1","cell.3",0.455832069777608
164,"1_cell.3","1","cell.3",0.453382577056744
166,"1_cell.3","1","cell.3",0.504432629816038
168,"1_cell.3","1","cell.3",0.51789969378768
170,"1_cell.3","1","cell.3",0.513140679358572
172,"1_cell.3","1","cell.3",0.514737995620245
174,"1_cell.3","1","cell.3",0.540090245281188
176,"1_cell.3","1","cell.3",0.542146584128367
178,"1_cell.3","1","cell.3",0.543306233675945
180,"1_cell.3","1","cell.3",0.530602063183018
182,"1_cell.3","1","cell.3",0.545777854167186
184,"1_cell.3","1","cell.3",0.536963797166565
186,"1_cell.3","1","cell.3",0.564643836811295
188,"1_cell.3","1","cell.3",0.552594493941751
190,"1_cell.3","1","cell.3",0.571121870239152
192,"1_cell.3","1","cell.3",0.577899657765728
194,"1_cell.3","1","cell.3",0.585717193200393
196,"1_cell.3","1","cell.3",0.574246517256187
198,"1_cell.3","1","cell.3",0.571165611180596
200,"1_cell.3","1","cell.3",0.588601522339142
202,"1_cell.3","1","cell.3",0.599524664616331
204,"1_cell.3","1","cell.3",0.581152182711573
206,"1_cell.3","1","cell.3",0.593902152543188
208,"1_cell.3","1","cell.3",0.591581309650101
210,"1_cell.3","1","cell.3",0.566638423741142
212,"1_cell.3","1","cell.3",0.583118209379653
214,"1_cell.3","1","cell.3",0.617443012629039
216,"1_cell.3","1","cell.3",0.606616357722682
218,"1_cell.3","1","cell.3",0.60622706334383
220,"1_cell.3","1","cell.3",0.627507803255304
222,"1_cell.3","1","cell.3",0.62547024728298
224,"1_cell.3","1","cell.3",0.633122339039125
226,"1_cell.3","1","cell.3",0.600102302343048
228,"1_cell.3","1","cell.3",0.625315095590681
230,"1_cell.3","1","cell.3",0.625634147163567
232,"1_cell.3","1","cell.3",0.637122319484351
234,"1_cell.3","1","cell.3",0.604902999316355
236,"1_cell.3","1","cell.3",0.623698224555187
238,"1_cell.3","1","cell.3",0.635550475888578
240,"1_cell.3","1","cell.3",0.633892951507506
0,"1_cell.5","1","cell.5",0.972603311669369
2,"1_cell.5","1","cell.5",1
