Time,Cell,Response,Condition
0,cell_1,0.690575,Condition_2
2,cell_1,0.6927613,Condition_2
4,cell_1,0.6903122,Condition_2
6,cell_1,0.6495826,Condition_2
8,cell_1,0.6826769,Condition_2
10,cell_1,0.6730855,Condition_2
12,cell_1,0.6832842,Condition_2
14,cell_1,0.680155,Condition_2
16,cell_1,0.6772369,Condition_2
18,cell_1,0.6767522,Condition_2
20,cell_1,0.6745279,Condition_2
22,cell_1,0.6711643,Condition_2
24,cell_1,0.679616,Condition_2
26,cell_1,0.6743037,Condition_2
28,cell_1,0.6702362,Condition_2
30,cell_1,0.6660641,Condition_2
32,cell_1,0.6702495,Condition_2
34,cell_1,0.6692957,Condition_2
36,cell_1,0.6671401,Condition_2
38,cell_1,0.6722153,Condition_2
40,cell_1,0.6670756,Condition_2
42,cell_1,0.6673751,Condition_2
44,cell_1,0.6736002,Condition_2
46,cell_1,0.6639975,Condition_2
0,cell_2,0.7712867,Condition_2
2,cell_2,0.777539,Condition_2
4,cell_2,0.7637621,Condition_2
6,cell_2,0.7657181,Condition_2
8,cell_2,0.7418116,Condition_2
10,cell_2,0.7439602,Condition_2
12,cell_2,0.764734,Condition_2
14,cell_2,0.7585751,Condition_2
16,cell_2,0.758302,Condition_2
18,cell_2,0.7595171,Condition_2
20,cell_2,0.7566794,Condition_2
22,cell_2,0.75479,Condition_2
24,cell_2,0.7619421,Condition_2
26,cell_2,0.7591677,Condition_2
28,cell_2,0.7602997,Condition_2
30,cell_2,0.7532247,Condition_2
32,cell_2,0.765366,Condition_2
34,cell_2,0.7582719,Condition_2
36,cell_2,0.7592971,Condition_2
38,cell_2,0.7636634,Condition_2
40,cell_2,0.760431,Condition_2
42,cell_2,0.7605526,Condition_2
44,cell_2,0.7638866,Condition_2
46,cell_2,0.753895,Condition_2
0,cell_3,0.6419768,Condition_2
2,cell_3,0.6304104,Condition_2
4,cell_3,0.6329958,Condition_2
6,cell_3,0.6327962,Condition_2
8,cell_3,0.6269465,Condition_2
10,cell_3,0.6266464,Condition_2
12,cell_3,0.6231157,Condition_2
14,cell_3,0.6230312,Condition_2
16,cell_3,0.6254841,Condition_2
18,cell_3,0.6221592,Condition_2
20,cell_3,0.6236967,Condition_2
22,cell_3,0.6247718,Condition_2
24,cell_3,0.6226387,Condition_2
26,cell_3,0.6261858,Condition_2
28,cell_3,0.625692,Condition_2
30,cell_3,0.6239132,Condition_2
32,cell_3,0.6273026,Condition_2
34,cell_3,0.6211504,Condition_2
36,cell_3,0.6260246,Condition_2
38,cell_3,0.6187277,Condition_2
40,cell_3,0.6186101,Condition_2
42,cell_3,0.6194225,Condition_2
44,cell_3,0.6230611,Condition_2
46,cell_3,0.6389883,Condition_2
0,cell_4,0.7129364,Condition_2
2,cell_4,0.7070919,Condition_2
4,cell_4,0.7021374,Condition_2
6,cell_4,0.6940571,Condition_2
8,cell_4,0.692236,Condition_2
10,cell_4,0.6936882,Condition_2
12,cell_4,0.6933723,Condition_2
14,cell_4,0.6940081,Condition_2
16,cell_4,0.6951234,Condition_2
18,cell_4,0.6922216,Condition_2
20,cell_4,0.6931439,Condition_2
22,cell_4,0.6953734,Condition_2
24,cell_4,0.6928951,Condition_2
26,cell_4,0.6937922,Condition_2
28,cell_4,0.6935414,Condition_2
30,cell_4,0.691806,Condition_2
32,cell_4,0.6908084,Condition_2
34,cell_4,0.6878459,Condition_2
36,cell_4,0.6873162,Condition_2
38,cell_4,0.6920167,Condition_2
40,cell_4,0.6897801,Condition_2
42,cell_4,0.6921455,Condition_2
44,cell_4,0.69156,Condition_2
46,cell_4,0.6911537,Condition_2
0,cell_5,0.6907997,Condition_2
2,cell_5,0.6862905,Condition_2
4,cell_5,0.6862492,Condition_2
6,cell_5,0.675862,Condition_2
8,cell_5,0.6702752,Condition_2
10,cell_5,0.6758974,Condition_2
12,cell_5,0.6721024,Condition_2
14,cell_5,0.6746343,Condition_2
16,cell_5,0.6750088,Condition_2
18,cell_5,0.6711476,Condition_2
20,cell_5,0.6724354,Condition_2
22,cell_5,0.6766504,Condition_2
24,cell_5,0.6730373,Condition_2
26,cell_5,0.6728938,Condition_2
28,cell_5,0.6698915,Condition_2
30,cell_5,0.6730536,Condition_2
32,cell_5,0.6739558,Condition_2
34,cell_5,0.6671087,Condition_2
36,cell_5,0.6705547,Condition_2
38,cell_5,0.6713664,Condition_2
40,cell_5,0.6684079,Condition_2
42,cell_5,0.6694571,Condition_2
44,cell_5,0.6720146,Condition_2
46,cell_5,0.6676291,Condition_2
0,cell_6,0.6945156,Condition_2
2,cell_6,0.6887361,Condition_2
4,cell_6,0.6984159,Condition_2
6,cell_6,0.6778964,Condition_2
8,cell_6,0.6791005,Condition_2
10,cell_6,0.678843,Condition_2
12,cell_6,0.6793856,Condition_2
14,cell_6,0.6764228,Condition_2
16,cell_6,0.6850284,Condition_2
18,cell_6,0.6771174,Condition_2
20,cell_6,0.6889412,Condition_2
22,cell_6,0.6778271,Condition_2
24,cell_6,0.6795793,Condition_2
26,cell_6,0.6818348,Condition_2
28,cell_6,0.6783973,Condition_2
30,cell_6,0.6725668,Condition_2
32,cell_6,0.6756254,Condition_2
34,cell_6,0.6714169,Condition_2
36,cell_6,0.6701264,Condition_2
38,cell_6,0.6700939,Condition_2
40,cell_6,0.6745818,Condition_2
42,cell_6,0.6725594,Condition_2
44,cell_6,0.6748692,Condition_2
46,cell_6,0.6743714,Condition_2
0,cell_7,0.7552003,Condition_2
2,cell_7,0.7608882,Condition_2
4,cell_7,0.7689157,Condition_2
6,cell_7,0.7364838,Condition_2
8,cell_7,0.7375311,Condition_2
10,cell_7,0.741981,Condition_2
12,cell_7,0.7392377,Condition_2
14,cell_7,0.7414956,Condition_2
16,cell_7,0.7480728,Condition_2
18,cell_7,0.7404698,Condition_2
20,cell_7,0.7457888,Condition_2
22,cell_7,0.7397825,Condition_2
24,cell_7,0.7459568,Condition_2
26,cell_7,0.7430435,Condition_2
28,cell_7,0.7411984,Condition_2
30,cell_7,0.7148045,Condition_2
32,cell_7,0.750943,Condition_2
34,cell_7,0.7392563,Condition_2
36,cell_7,0.7429212,Condition_2
38,cell_7,0.7459111,Condition_2
40,cell_7,0.7444032,Condition_2
42,cell_7,0.7446364,Condition_2
44,cell_7,0.7423277,Condition_2
46,cell_7,0.7423705,Condition_2
0,cell_8,0.8155536,Condition_2
2,cell_8,0.8200119,Condition_2
4,cell_8,0.8131161,Condition_2
6,cell_8,0.8177142,Condition_2
8,cell_8,0.8126357,Condition_2
10,cell_8,0.8157328,Condition_2
12,cell_8,0.8129422,Condition_2
14,cell_8,0.8074836,Condition_2
16,cell_8,0.8121221,Condition_2
18,cell_8,0.8129629,Condition_2
20,cell_8,0.8110886,Condition_2
22,cell_8,0.8138985,Condition_2
24,cell_8,0.8115784,Condition_2
26,cell_8,0.8108442,Condition_2
28,cell_8,0.8096402,Condition_2
30,cell_8,0.8131601,Condition_2
32,cell_8,0.8102702,Condition_2
34,cell_8,0.8086443,Condition_2
36,cell_8,0.8074839,Condition_2
38,cell_8,0.8110103,Condition_2
40,cell_8,0.8117902,Condition_2
42,cell_8,0.8100665,Condition_2
44,cell_8,0.8076423,Condition_2
46,cell_8,0.8089542,Condition_2
0,cell_9,0.678012,Condition_2
2,cell_9,0.6507565,Condition_2
4,cell_9,0.6662749,Condition_2
6,cell_9,0.668248,Condition_2
8,cell_9,0.6581175,Condition_2
10,cell_9,0.6640658,Condition_2
12,cell_9,0.6580093,Condition_2
14,cell_9,0.6549184,Condition_2
16,cell_9,0.6569067,Condition_2
18,cell_9,0.6592144,Condition_2
