Time,cell-1,cell-2,cell-3,cell-4,cell-5,cell-6,cell-7,cell-8,cell-9,cell-10,cell-11,cell-12
156,0.6585846,0.758895,0.7065055,0.748536,0.790469,0.9324381,0.9824047,0.8795047,0.7876095,0.8284333,0.8536375,0.8700709
158,0.6570661,0.7589667,0.7507149,0.7645899,0.8108928,0.9443353,0.9470664,0.8921529,0.8303743,0.8603002,0.8810238,0.8903588
160,0.6780392,0.7840518,0.7769749,0.7835963,0.8365729,0.9504298,0.9552389,0.9101719,0.872296,0.8703463,0.892899,0.9088039
162,0.6967249,0.8143562,0.7957701,0.7937301,0.8418541,0.9675333,0.9683063,0.921409,0.8967853,0.8695244,0.8912413,0.8877413
164,0.7252154,0.8466827,0.7948181,0.801936,0.8534384,0.9779583,0.9707021,0.9237222,0.906293,0.8736004,0.9007747,0.9047694
166,0.760114,0.8771384,0.8146588,0.8132165,0.8553572,0.9633533,0.9621161,0.9200274,0.9048054,0.8753392,0.8973725,0.8937883
168,0.7792834,0.889087,0.8198928,0.8206086,0.8589618,0.9712077,0.9679014,0.9295183,0.9167875,0.8743553,0.9014131,0.8983769
170,0.7908425,0.9012936,0.8180432,0.8254397,0.8623171,0.980649,0.9711222,0.9307603,0.9266327,0.8821397,0.9043577,0.8987133
172,0.8013706,0.910957,0.818664,0.8318515,0.8661237,0.9822405,0.9624383,0.9327024,0.931402,0.8861572,0.9051554,0.8988575
174,0.821974,0.9268601,0.8285172,0.8379454,0.8734931,0.977301,0.9649493,0.9338757,0.939128,0.8855794,0.9110134,0.9049002
176,0.8077375,0.9094514,0.8293164,0.8411039,0.87298,0.9917511,0.9724934,0.9358198,0.9431993,0.884447,0.9106097,0.9034199
178,0.824002,0.9242779,0.8297671,0.8437021,0.8740097,0.9775796,0.97553,0.936887,0.9397557,0.8911904,0.9137554,0.9154415
180,0.7983506,0.9076857,0.8248296,0.8456879,0.8765781,0.9803711,0.9727855,0.9343904,0.941749,0.8959718,0.9122716,0.9116707
182,0.8235811,0.925498,0.8307277,0.8512554,0.8811355,0.9826183,0.9679986,0.9337664,0.9436932,0.8960849,0.9180505,0.9149215
184,0.8200656,0.9222595,0.8273021,0.8483365,0.8787946,0.987232,0.9715927,0.9369862,0.9476023,0.8917719,0.9085619,0.9023825
186,0.8290564,0.9317784,0.83806,0.8551339,0.8863619,0.985819,0.9765844,0.9373953,0.9482797,0.9003579,0.9193791,0.9160582
188,0.8236263,0.9226643,0.833377,0.8562742,0.8826315,0.980836,0.9740943,0.9371983,0.957711,0.8964256,0.913283,0.9105129
190,0.8216298,0.9165547,0.8405777,0.8550979,0.8921162,0.976064,0.970274,0.9347402,0.9454646,0.9021015,0.9255377,0.9196705
192,0.8210967,0.9147034,0.8432119,0.8537892,0.8853543,0.9786131,0.9729806,0.9346654,0.9549119,0.8991146,0.9188143,0.9176256
194,0.8282813,0.9236096,0.8462502,0.8530002,0.8874226,0.9872374,0.975227,0.9361607,0.9533737,0.9026729,0.9235503,0.915639
196,0.8357399,0.9257274,0.8417921,0.8563579,0.8898428,0.9884542,0.9751729,0.9381524,0.9617012,0.9105773,0.9289671,0.9254841
198,0.8319375,0.9252224,0.8405947,0.8631377,0.8943604,0.9823523,0.9730579,0.9385269,0.9643393,0.9042317,0.9228753,0.9233137
200,0.8346034,0.9284414,0.8473712,0.8601948,0.8954196,0.9841543,0.9713824,0.9393582,0.9599139,0.9067229,0.9205598,0.9203123
202,0.8330616,0.9289717,0.8516165,0.8603124,0.8923586,0.9817288,0.9735221,0.935445,0.9555072,0.9023252,0.9222744,0.9241514
204,0.8360739,0.9240814,0.844476,0.8653032,0.8930965,0.9969307,0.9854825,0.9389244,0.95894,0.9034753,0.9234949,0.9181012
206,0.8376793,0.9261681,0.8494313,0.8665447,0.8961985,0.9842179,0.9742375,0.9373704,0.9522166,0.9048531,0.9185551,0.9201765
