xx,Cell-1,Cell-2,Cell-3,Cell-4,Cell-5,Cell-6,Cell-7,Cell-8,Cell-9,Cell-10,Cell-11,Cell-12,Cell-13,Cell-14,Cell-15,Cell-16,Cell-17,Cell-18,Cell-19,Cell-20,Cell-21,Cell-22,Cell-23,Cell-24,Cell-25,Cell-26,Cell-27,Cell-28,Cell-29,Cell-30,Cell-31,Cell-32
5.5,1.016054,0.9812715,0.9817091,1.223568,1.210688,1.111704,1.119373,1.075741,1.028225,1.059214,1.038057,1.064664,1.033375,1.042453,1.098503,1.036326,1.039826,1.035869,0.9537665,0.9540749,0.982485,1.002181,0.9942032,0.9954182,0.9679756,1.040589,0.9738362,1.004299,0.9356363,0.9588624,0.9402542,0.9677165
5.666667,1.011227,0.9814844,0.985516,1.227345,1.215025,1.128861,1.135268,1.076119,1.02662,1.060494,1.041279,1.060294,1.069024,1.069888,1.099608,1.037955,1.038377,1.047712,0.9718687,0.9748139,0.9844626,1.001872,1.002488,1.000392,0.9738983,1.042795,0.9832931,1.008264,0.9268897,0.9590213,0.9428439,0.9628889
5.833334,1.036438,1.01073,1.019549,1.219554,1.206742,1.120926,1.128856,1.071356,1.02634,1.058617,1.05306,1.059607,1.04045,1.039712,1.099296,1.036777,1.035581,1.039032,0.9770113,0.9841167,0.9880106,1.005238,0.9970847,0.9993029,0.9719427,1.039899,0.976256,1.006053,0.9205601,0.9626102,0.941999,0.9683449
6,1.026032,1.004238,1.006113,1.213495,1.199815,1.124334,1.138451,1.066999,1.024471,1.040156,0.9963992,1.027061,1.052998,1.050889,1.093944,1.034163,1.036131,1.034084,0.9583193,0.9576095,0.9860261,1.002653,0.994263,0.9916933,0.9628313,1.035697,0.9665287,1.002898,0.9189884,0.9579453,0.9348922,0.9591884
6.166667,1.024583,0.9976189,1.003805,1.196924,1.181961,1.104607,1.127164,1.05815,1.024638,1.052687,1.04381,1.048446,1.047692,1.035712,1.093944,1.034163,1.031748,1.020184,0.9811621,0.9866543,0.9880361,1.003759,0.9847035,0.9966112,0.9684847,1.036376,0.9687771,1.004687,0.9158857,0.9596367,0.9392077,0.9605478
6.333334,1.02425,0.9951381,1.002008,1.192178,1.177988,1.110011,1.136083,1.05985,1.026382,1.050175,1.036088,1.047276,1.024985,1.014457,1.077005,1.024077,1.031483,1.034508,0.9689426,0.9747783,0.9890462,1.004573,0.996711,0.9952655,0.9701707,1.034806,0.9733952,1.007092,0.9150819,0.9608538,0.9332153,0.9589743
6.5,1.038381,1.011987,1.021643,1.178431,1.163518,1.094304,1.112839,1.060879,1.016059,1.050544,1.029117,1.036758,1.046802,1.035128,1.076146,1.021442,1.026393,1.016537,0.952063,0.9568841,0.9773154,0.9945824,0.9895209,0.994372,0.9700725,1.036604,0.9682493,1.006516,0.9191311,0.9520309,0.9413773,0.9651521
6.666667,1.018562,0.9897022,0.9937184,1.169892,1.158047,1.088329,1.114075,1.06467,1.017763,1.051134,1.036083,1.0406,1.034099,1.030564,1.082218,1.026126,1.031524,1.03102,0.9913058,0.9877863,0.9794126,0.9962482,0.9980196,0.9934292,0.9776283,1.038387,0.9708778,1.004505,0.9298462,0.9520757,0.9413942,0.9788364
6.833334,1.046261,1.015277,1.025011,1.150613,1.142992,1.07183,1.099415,1.058234,1.013148,1.046852,1.025962,1.034497,1.023306,1.014097,1.083123,1.025065,1.026611,1.02155,0.9772215,0.9861355,0.9753447,0.9950917,0.9981313,0.9908452,0.9687996,1.030547,0.9708237,1.003826,0.9246224,0.9494191,0.9365938,0.9674341
7,1.026933,1.000907,1.002111,1.141872,1.133825,1.080611,1.09555,1.068104,1.014122,1.038407,1.010842,1.027664,1.014983,1.013315,1.078986,1.019289,1.03201,1.015075,0.9886681,0.9857685,0.9786786,0.9953151,0.9879106,0.9952999,0.9729274,1.033701,0.9822996,1.00859,0.9271272,0.9503708,0.9322884,0.9590833
7.166667,1.026282,1.00052,1.0008,1.138994,1.140611,1.085892,1.107836,1.051219,1.012411,1.044126,1.027349,1.033961,1.006771,0.99015,1.084459,1.020032,1.017471,1.024079,0.9886994,0.9917971,0.9782126,0.994961,0.9912844,0.9967274,0.9737563,1.035722,0.9747127,1.007772,0.9036903,0.9504811,0.933965,0.9619842
7.333334,1.021314,0.9970843,0.9950631,1.129051,1.126563,1.062939,1.097275,1.058311,1.015671,1.046306,1.017964,1.029851,1.018044,1.008463,1.082508,1.009993,1.020985,1.033765,1.003891,1.005151,0.9802038,1.000683,0.9919662,0.9975981,0.9742131,1.035555,0.9774474,1.009258,0.9146875,0.9545357,0.9380855,0.9672446
7.5,1.044764,1.019729,1.031718,1.11438,1.108017,1.046497,1.080948,1.067193,1.015064,1.036961,0.9910682,1.022161,1.023662,1.0087,1.085578,1.013249,1.028794,1.034014,0.9714967,0.9806767,0.9794151,0.9999323,0.9918792,0.9983026,0.9739178,1.032905,0.9777532,1.008084,0.9236324,0.9531808,0.9366631,0.9605205
7.666667,1.021985,0.9988235,1.001036,1.117379,1.107758,1.05184,1.095955,1.055535,1.010169,1.048434,1.019175,1.03251,1.023889,1.005896,1.074181,1.002037,1.017136,1.017704,0.9779934,0.9761209,0.9771797,0.9934102,0.9828214,0.9971571,0.9725694,1.027528,0.9679247,1.006193,0.9034582,0.9483753,0.9311574,0.9552717
7.833334,1.031272,1.001882,1.013327,1.118435,1.106956,1.0587,1.107029,1.053977,1.010825,1.044041,1.032444,1.033792,1.079801,1.025757,1.076129,1.006183,1.01451,1.023083,0.9866231,0.9908295,0.9787794,0.9954631,0.9861742,0.9969609,0.9690049,1.024185,0.9654701,1.005197,0.8961757,0.9515554,0.9269406,0.9558017
8,1.025472,1.003216,1.000534,1.109759,1.093458,1.053749,1.097272,1.057619,1.013633,1.047043,1.022474,1.035789,1.037171,1.006372,1.070177,1.003181,1.026569,1.028156,0.9886685,0.990813,0.9824407,0.9976969,0.9865234,0.9977595,0.9673154,1.025447,0.9691601,1.007748,0.913113,0.9533592,0.9323128,0.9611806
8.166667,1.028696,1.001452,1.006321,1.105079,1.089161,1.057615,1.103187,1.046532,1.010366,1.051994,1.026947,1.041597,1.038676,1.02409,1.070062,1.000594,1.018693,1.035495,0.9687455,0.9693067,0.9776604,0.9918834,0.991837,0.9964134,0.9703587,1.020495,0.9713258,1.007712,0.9050751,0.9479271,0.9354146,0.9659763
